"week","home_team","away_team","full_name","avgpoints","defense","athome","actualpts","avg","low","high","intop30","std2017","rectar","maxrectar","minrectar","rectds","recyards","defsacks","passing_int","passing_yds_against","passing_tds_against","rushing_yds_allowed","rushing_tds_allowed"
10,"DET","CLE","Bryce Treggs",3.13,"DET",0,0.00,4.0,3.0,7.1,0,1.49,3.50,6,2,0.00,19.75,1.71,1.43,268.43,1.43,91.57,0.86
12,"CIN","CLE","Bryce Treggs",2.50,"CIN",0,0.00,,,,0,1.90,3.40,6,2,0.00,15.80,2.89,0.67,214.67,1.22,123.44,0.56
8,"NYJ","ATL","Chad Hansen",0.00,"ATL",1,0.00,,,,0,,0.00,0,0,0.00,0.00,2.40,0.40,230.60,1.40,102.00,0.40
10,"TB","NYJ","Chad Hansen",0.00,"TB",0,6.30,,,,0,0.00,0.00,0,0,0.00,0.00,1.00,0.71,280.86,1.71,111.71,1.00
12,"NYJ","CAR","Chad Hansen",2.10,"CAR",1,0.00,,,,0,3.64,1.33,4,0,0.00,11.00,2.90,0.50,213.90,1.40,80.60,0.40
12,"ARI","JAC","Chad Williams",2.15,"JAC",1,1.80,,,,0,0.49,1.50,2,1,0.00,11.50,3.89,1.22,189.44,0.67,120.67,0.67
7,"IND","JAC","Chester Rogers",,"JAC",1,4.10,,,,0,,,,,,,4.00,2.00,202.00,0.60,146.40,1.00
8,"CIN","IND","Chester Rogers",4.10,"CIN",0,2.90,,,,0,,2.00,2,2,0.00,21.00,3.60,0.80,181.60,1.00,103.20,0.60
9,"HOU","IND","Chester Rogers",3.50,"HOU",0,2.70,,,,0,0.85,2.00,2,2,0.00,15.00,2.50,1.17,218.00,1.67,107.17,0.50
10,"IND","PIT","Chester Rogers",3.23,"PIT",1,25.70,,,,1,0.76,2.00,2,2,0.00,15.67,3.25,0.88,203.63,0.75,106.38,0.75
12,"IND","TEN","Chester Rogers",8.85,"TEN",1,6.40,4.0,2.6,5.5,0,11.25,3.00,6,2,0.25,37.75,1.44,1.00,246.89,1.89,91.89,0.44
4,"KC","WAS","Chris Conley",5.27,"WAS",1,5.10,7.1,6.9,9.3,0,4.83,3.00,4,1,0.00,32.67,2.00,1.00,279.50,1.50,75.00,0.50
